method,method_label,language_type,rows,contains_answer_rate,keyword_coverage,avg_compressed_tokens,avg_token_saving,avg_compression_time
original,Original,mixed,15,1.0,0.8777777777777778,81.93333333333334,0.0,9.695688883463541e-07
truncate,Truncate,mixed,15,0.9333333333333333,0.8111111111111111,60.0,0.2582598983356036,8.427302042643229e-05
bm25,BM25,mixed,15,1.0,0.8777777777777778,56.0,0.30618608572027867,0.0003948211669921875
llmlingua,LLMLingua,mixed,15,0.8666666666666667,0.8277777777777777,75.73333333333333,0.06525871280313213,0.9155789216359457
longllmlingua,LongLLMLingua,mixed,15,1.0,0.8777777777777778,60.0,0.2582598983356036,0.7774471124013265
ours_bm25_only,QKP-Reorder-BM25,mixed,15,1.0,0.8777777777777778,56.06666666666667,0.3053036138454829,0.0014543692270914713
ours_keyword,QKP-Reorder-Keyword,mixed,15,1.0,0.8777777777777778,57.06666666666667,0.2934726833505619,0.001408974329630534
ours_full,QKP-Reorder,mixed,15,1.0,0.8777777777777778,57.06666666666667,0.2934726833505619,0.0014075597127278646
original,Original,overall,30,1.0,0.8722222222222222,119.7,0.0,1.0728836059570312e-06
truncate,Truncate,overall,30,0.4666666666666667,0.46388888888888885,60.0,0.43571245931272246,9.388923645019532e-05
bm25,BM25,overall,30,0.5666666666666667,0.5638888888888889,57.766666666666666,0.46103194922208335,0.0002835830052693685
llmlingua,LLMLingua,overall,30,0.7,0.6222222222222222,87.26666666666667,0.21405114633414568,2.248787458737691
longllmlingua,LongLLMLingua,overall,30,1.0,0.8722222222222222,60.0,0.43571245931272246,1.0082564036051431
ours_bm25_only,QKP-Reorder-BM25,overall,30,1.0,0.8722222222222222,55.8,0.4733930492889777,0.0013839085896809897
ours_keyword,QKP-Reorder-Keyword,overall,30,1.0,0.8722222222222222,56.7,0.46517989747361266,0.0018927733103434245
ours_full,QKP-Reorder,overall,30,1.0,0.8722222222222222,56.7,0.46517989747361266,0.0019546111424764
original,Original,zh,15,1.0,0.8666666666666667,157.46666666666667,0.0,1.1761983235677084e-06
truncate,Truncate,zh,15,0.0,0.11666666666666667,60.0,0.6131650202898412,0.00010350545247395833
bm25,BM25,zh,15,0.13333333333333333,0.25,59.53333333333333,0.615877812723888,0.00017234484354654948
llmlingua,LLMLingua,zh,15,0.5333333333333333,0.4166666666666667,98.8,0.36284357986515925,3.5819959958394367
longllmlingua,LongLLMLingua,zh,15,1.0,0.8666666666666667,60.0,0.6131650202898412,1.23906569480896
ours_bm25_only,QKP-Reorder-BM25,zh,15,1.0,0.8666666666666667,55.53333333333333,0.6414824847324725,0.0013134479522705078
ours_keyword,QKP-Reorder-Keyword,zh,15,1.0,0.8666666666666667,56.333333333333336,0.6368871115966634,0.0023765722910563153
ours_full,QKP-Reorder,zh,15,1.0,0.8666666666666667,56.333333333333336,0.6368871115966634,0.002501662572224935
